1000 5099
188 24 129
188 26 147
188 38 121
188 116 118
188 128 261
188 167 46
189 86 61
189 94 62
191 3 134
192 57 229
192 66 118
192 83 135
192 138 176
193 168 89
194 12 224
194 66 59
194 158 18
195 151 18
196 15 52
197 123 11
197 149 6
197 183 178
199 66 5
199 119 124
200 158 101
201 56 65
202 123 23
203 54 97
203 102 81
205 196 64
206 145 88
208 76 41
208 90 147
209 106 113
209 112 27
210 23 54
210 114 52
211 154 16
211 158 38
211 181 10
212 107 60
212 128 83
213 197 6
214 27 48
214 128 9
214 212 135
215 53 129
215 144 36
216 59 89
217 86 277
217 113 73
217 215 54
218 139 93
218 140 23
218 188 173
219 28 66
219 81 24
219 103 51
220 17 43
220 86 94
220 193 214
221 46 133
221 69 192
221 118 21
222 99 40
222 101 92
223 63 38
223 139 29
224 68 173
224 113 16
224 202 400
225 130 75
226 109 355
226 123 104
226 171 15
227 33 23
227 65 285
227 160 111
228 55 29
228 226 9
229 8 113
229 19 125
230 138 58
230 149 66
231 37 102
231 87 83
231 132 85
232 111 7
232 135 58
232 152 7
232 178 54
232 187 10
233 156 435
233 171 121
233 199 11
233 232 291
234 4 208
234 65 5
234 117 9
234 230 48
235 144 48
235 178 17
235 212 30
236 49 48
236 214 74
237 201 108
238 30 14
238 75 14
238 198 5
238 226 62
239 74 27
239 213 196
240 157 15
241 211 193
242 82 82
242 160 12
243 69 134
244 40 9
244 93 157
244 218 98
245 120 280
246 15 188
246 29 59
246 95 91
246 154 186
247 8 93
247 38 44
247 71 86
248 40 18
248 221 99
250 220 98
250 247 53
251 233 7
252 35 89
252 109 374
253 187 91
254 131 121
254 145 43
254 217 40
255 67 22
255 171 117
255 203 73
255 248 71
256 147 11
256 216 32
257 41 54
257 46 15
257 153 29
257 199 81
257 211 117
258 110 110
258 213 241
260 245 22
261 27 447
261 51 133
261 89 57
261 105 15
261 113 66
261 131 61
261 133 89
261 149 19
261 230 35
261 260 14
262 2 189
262 127 54
263 120 215
264 24 52
264 44 19
264 70 5
264 165 73
264 180 30
264 211 189
264 234 110
264 245 147
265 39 133
265 117 46
265 128 43
265 144 32
266 73 117
266 84 54
266 254 176
267 32 5
267 210 294
268 12 85
268 63 28
268 71 6
268 148 210
268 203 54
269 223 119
270 156 10
270 200 206
271 209 126
271 261 61
272 36 221
272 78 14
272 112 13
272 139 236
273 75 34
273 119 75
273 202 213
274 0 94
274 16 333
274 23 307
274 71 68
274 243 289
275 176 79
275 199 7
275 204 6
276 75 40
276 245 72
277 79 102
277 230 259
277 233 124
277 257 135
277 263 33
278 47 84
278 60 91
278 109 36
278 239 116
279 66 56
279 263 8
279 269 17
280 112 187
280 223 127
280 232 114
280 250 78
280 265 58
281 116 156
281 119 24
282 0 133
282 5 19
282 26 315
282 28 118
282 81 272
282 194 5
283 274 19
284 79 29
285 106 67
285 201 84
285 218 95
285 238 14
286 0 191
286 234 71
287 29 5
287 48 177
287 181 9
288 48 51
288 73 116
289 55 141
289 288 28
290 185 125
290 229 17
291 115 100
291 194 168
291 232 395
291 264 33
291 280 91
292 35 109
292 62 13
292 64 153
292 161 72
292 208 366
292 220 6
293 213 5
293 223 213
293 278 16
294 7 93
294 81 54
294 263 18
295 156 59
295 230 126
295 272 146
296 164 60
297 92 33
298 4 10
298 82 89
299 219 113
300 39 146
300 116 66
300 122 57
300 286 21
301 176 171
301 254 142
302 90 18
303 68 5
303 154 71
304 36 70
304 165 34
304 185 291
304 205 109
304 244 25
305 20 37
305 67 204
305 109 109
305 202 107
305 250 284
305 277 45
305 279 36
306 63 5
306 136 107
306 139 64
307 47 64
307 82 27
307 122 55
307 211 43
307 251 23
308 274 19
308 291 5
308 295 97
308 306 9
309 102 42
310 47 16
310 78 5
310 83 59
310 98 37
310 124 14
310 132 248
310 177 86
310 300 37
311 53 54
311 79 16
311 96 53
311 133 89
311 299 48
312 108 119
312 144 82
312 185 88
313 166 197
313 188 70
313 209 35
313 225 324
313 250 36
313 311 115
314 60 148
314 111 13
315 246 188
315 269 389
315 305 153
316 120 6
316 150 25
316 177 34
316 179 72
316 188 148
316 292 18
317 17 114
317 170 44
317 278 93
318 21 83
318 112 157
318 120 17
318 146 467
319 12 67
319 105 95
319 218 64
319 292 120
320 141 95
320 177 5
321 149 45
321 283 71
322 177 95
322 266 162
323 50 144
323 62 27
323 148 45
323 263 420
324 43 11
324 93 93
324 206 40
324 295 17
325 198 97
326 14 103
326 196 23
326 258 39
327 169 188
328 0 156
328 89 42
328 212 5
328 223 83
328 286 173
329 89 30
329 158 46
329 253 43
330 54 9
330 70 71
330 75 5
330 130 68
330 165 67
331 124 18
331 278 202
331 285 168
332 30 29
332 46 252
332 141 123
332 201 40
332 258 81
333 93 210
333 124 79
333 183 28
333 230 43
333 235 108
333 251 117
333 327 23
334 62 109
334 291 347
334 299 6
335 189 21
335 214 8
335 229 62
335 269 55
336 22 302
336 126 57
336 168 209
336 240 61
337 21 333
337 146 15
337 170 66
337 311 49
338 150 82
338 171 131
338 274 23
339 39 15
339 200 32
339 207 69
340 57 46
340 64 217
341 48 147
341 138 34
341 190 59
342 135 16
342 143 61
342 282 66
343 54 98
343 66 239
343 107 13
343 215 8
343 246 152
343 263 61
344 12 109
344 60 61
344 185 40
344 249 61
344 341 66
345 196 64
345 206 48
345 252 35
345 268 159
346 17 57
346 44 163
346 254 5
346 284 53
347 180 88
347 242 502
347 261 82
348 158 224
348 189 9
348 206 37
348 333 133
349 65 139
349 104 12
349 171 42
349 301 32
349 343 38
351 23 48
351 102 28
351 217 23
351 239 68
352 118 119
352 165 26
352 210 95
352 244 158
352 267 96
352 347 114
353 11 24
353 90 57
353 101 73
353 157 43
353 231 381
353 253 159
354 56 83
354 240 52
354 320 58
355 22 269
355 215 20
355 237 12
355 274 39
356 138 21
356 308 135
356 325 14
356 335 95
357 119 240
357 265 47
358 43 16
358 58 27
358 113 255
358 170 68
358 252 178
359 42 67
359 93 50
359 310 41
359 315 84
360 215 87
360 287 40
360 307 38
361 101 8
361 167 181
361 197 44
361 332 12
362 93 27
363 11 239
363 221 16
363 226 55
364 191 38
364 253 10
364 259 127
365 165 5
365 290 201
366 61 5
366 152 117
366 178 113
366 234 15
366 365 158
367 59 5
367 165 63
367 231 63
368 143 9
368 350 38
369 62 63
369 88 10
369 93 23
369 109 6
369 181 6
369 223 173
369 238 27
369 294 37
369 313 24
369 351 39
370 143 5
370 311 89
371 284 223
372 51 336
372 271 107
373 116 562
373 135 104
373 183 37
373 188 6
373 223 108
373 296 98
373 369 5
374 93 51
374 98 40
374 158 87
374 253 5
374 318 189
375 88 21
375 232 154
375 299 134
376 95 100
376 206 16
376 235 137
376 311 89
376 335 129
377 87 45
377 107 142
377 111 87
377 132 140
377 150 319
377 236 166
377 371 155
378 152 106
378 373 78
379 222 51
379 245 143
379 301 41
379 333 14
380 248 86
380 302 27
381 4 5
381 44 50
381 109 51
381 163 90
381 329 14
382 32 58
382 193 178
382 243 131
382 255 46
382 328 84
383 79 20
383 87 27
383 134 10
383 193 160
383 247 98
383 251 44
383 268 178
383 279 10
383 290 32
384 128 50
384 187 37
384 335 97
385 38 63
385 39 321
385 59 5
385 111 25
385 318 16
385 343 35
385 364 19
386 60 128
386 172 5
387 107 6
387 139 86
387 260 193
387 261 107
387 367 38
388 31 103
388 59 207
388 218 31
388 235 203
388 265 105
389 101 135
389 110 39
389 191 40
389 219 173
389 353 20
390 2 52
390 294 59
390 317 50
391 90 5
391 218 57
392 52 12
392 312 124
393 25 242
393 166 23
393 242 95
393 378 294
394 175 5
394 192 94
394 221 50
394 248 42
394 255 100
394 362 47
394 388 110
395 40 59
395 331 12
395 359 15
396 76 14
396 134 106
397 9 126
397 306 144
397 311 236
398 90 6
398 142 11
398 159 107
398 179 257
398 186 221
398 263 333
398 317 76
399 37 23
399 163 40
399 168 284
399 341 75
399 386 150
400 200 59
400 279 139
400 298 165
400 346 148
400 398 8
401 48 42
401 351 116
401 370 191
402 7 22
402 255 194
403 46 21
403 223 76
403 244 96
404 30 5
404 34 5
404 85 26
404 155 228
404 395 307
405 81 5
405 231 96
405 254 59
405 259 58
405 267 286
405 346 99
406 42 11
406 364 92
407 112 27
407 249 5
407 254 57
407 321 262
408 141 465
409 332 26
410 2 122
410 36 127
410 142 59
410 167 65
410 189 328
410 256 85
410 293 5
410 319 102
410 327 20
410 333 25
411 121 19
411 142 18
411 291 274
412 6 83
412 276 122
412 369 177
413 6 60
413 29 99
413 68 162
413 372 60
413 400 178
413 403 25
414 185 81
414 214 9
414 293 32
414 356 16
414 372 99
414 384 95
415 16 21
415 85 42
415 128 228
415 141 70
415 351 246
416 13 30
416 80 101
416 134 21
416 278 29
416 301 112
416 341 71
416 365 47
417 80 82
417 327 356
418 102 61
418 125 15
418 132 199
418 320 120
419 146 102
419 178 88
419 330 22
420 29 62
420 63 29
420 104 280
420 112 27
420 359 50
420 367 89
421 182 16
421 211 209
421 228 120
421 275 5
421 296 111
421 343 102
421 391 181
422 34 26
422 82 12
422 146 27
422 260 91
422 330 100
423 2 22
423 60 52
423 328 126
423 342 155
423 405 9
423 409 84
423 417 46
424 227 65
424 354 71
425 210 38
425 281 5
425 341 83
425 349 23
426 54 17
426 120 22
426 354 14
426 373 5
427 55 19
427 123 237
427 167 200
427 276 41
427 277 10
427 340 189
428 48 57
428 230 83
428 258 90
428 299 163
429 0 6
429 202 32
429 321 66
429 332 223
430 11 202
430 40 137
430 50 45
430 63 229
430 116 32
430 250 95
430 278 11
431 144 130
431 266 263
431 283 325
431 319 50
431 417 90
432 50 33
432 225 28
432 237 36
432 279 36
432 335 41
433 143 28
434 131 97
434 271 64
434 313 196
434 413 29
435 62 31
435 141 32
435 385 64
436 66 72
436 181 246
436 221 97
436 402 86
437 6 255
437 34 5
437 71 109
437 92 189
437 121 152
437 127 270
437 185 24
437 302 67
437 323 16
437 339 67
438 144 18
438 229 142
439 177 90
439 280 48
439 369 84
440 39 189
440 218 29
440 423 11
441 0 40
441 159 56
441 193 124
441 204 34
441 268 31
441 429 29
442 42 90
442 60 5
442 93 154
442 129 38
442 139 161
442 152 60
442 345 66
443 19 81
443 168 82
443 218 57
443 334 51
443 338 17
444 122 63
444 125 137
444 414 166
445 100 90
445 169 31
445 245 29
445 273 150
445 304 70
445 359 10
445 384 8
445 387 64
446 8 64
446 142 105
446 173 131
446 311 87
446 312 14
446 332 57
448 167 14
448 206 30
448 409 40
448 419 471
449 89 377
449 254 347
449 400 209
450 12 45
450 18 21
450 82 18
450 221 61
450 321 80
450 403 16
451 170 35
451 194 24
451 290 5
452 13 115
452 72 39
452 105 221
452 149 13
452 295 89
452 299 226
452 404 185
453 192 202
453 325 103
453 351 296
453 425 48
454 138 7
454 445 46
455 101 115
455 382 197
456 22 56
456 228 85
456 251 234
456 296 63
456 388 35
456 439 82
457 182 173
457 350 122
458 34 209
458 177 10
458 207 51
458 295 12
458 387 180
459 34 127
459 104 18
459 115 74
459 165 105
459 169 6
459 190 52
459 214 33
459 299 25
459 350 29
459 363 51
459 372 23
460 363 97
461 13 20
461 237 46
461 392 108
461 413 76
461 430 32
462 99 52
462 188 72
462 224 47
462 264 48
463 32 50
463 73 10
463 167 31
463 290 258
463 374 22
463 433 259
463 438 130
464 173 18
464 225 13
465 153 81
465 173 15
465 266 169
465 447 24
466 47 147
466 109 11
466 120 55
466 222 394
466 415 90
467 65 78
467 116 22
467 285 40
467 347 60
467 360 281
467 368 8
467 453 298
467 463 109
468 229 23
468 282 5
469 33 76
469 96 5
469 117 27
469 163 20
469 339 50
469 374 231
469 389 99
469 394 108
469 408 72
470 31 271
470 165 5
470 186 414
470 221 49
470 253 74
470 305 218
470 448 5
471 34 65
471 233 277
471 270 33
471 366 18
471 395 43
471 404 119
472 136 46
472 138 58
472 209 126
472 344 10
472 351 70
472 418 185
474 44 56
474 185 46
474 201 101
474 320 28
474 380 9
475 197 5
475 287 42
475 296 23
475 306 343
475 389 29
475 429 21
476 103 66
476 235 10
476 264 167
476 407 8
477 15 9
477 240 89
477 286 118
477 439 32
478 22 15
478 32 25
478 104 72
478 105 156
478 201 186
478 244 128
478 294 129
478 375 293
478 382 121
479 128 71
479 279 140
479 350 43
479 428 32
479 439 88
480 19 97
480 60 327
480 220 390
480 258 101
480 321 106
480 330 31
480 333 130
480 354 69
480 374 72
481 62 233
481 192 18
481 416 88
482 92 85
482 160 116
483 128 46
483 223 187
483 339 106
483 389 5
483 417 233
484 28 269
484 65 21
484 192 191
484 206 41
484 339 62
485 1 145
485 109 21
485 300 8
485 327 5
485 464 59
486 437 32
486 456 229
487 165 29
487 225 10
487 250 21
487 282 86
487 329 52
488 220 50
489 116 98
489 209 27
489 226 65
490 63 32
490 164 32
490 294 31
490 299 255
490 369 214
490 393 106
490 424 35
490 451 267
490 453 25
490 485 292
491 295 8
491 358 301
492 244 150
492 255 317
492 336 19
492 426 58
492 434 47
492 462 5
493 33 43
493 85 81
493 153 25
494 32 107
494 72 138
494 92 111
494 204 13
494 207 42
494 359 39
494 477 21
495 24 120
495 145 75
495 178 28
495 182 60
495 340 30
495 488 25
496 51 26
496 107 56
496 145 133
496 151 294
496 416 19
497 82 47
497 136 16
497 216 347
497 255 43
497 374 177
497 464 56
498 14 31
498 21 198
498 70 135
498 103 7
498 125 35
498 129 75
498 131 91
498 138 77
498 314 282
498 327 68
498 330 21
498 359 76
498 472 46
499 41 123
499 67 171
499 203 211
499 279 117
499 305 99
499 311 188
499 385 19
499 467 9
500 92 446
500 185 93
500 192 269
500 364 40
500 367 81
500 376 205
501 112 324
501 158 59
501 457 44
502 18 122
502 54 130
502 162 165
502 193 81
502 253 95
502 345 5
502 426 5
503 1 65
503 41 18
503 200 144
503 277 25
503 440 89
503 461 267
504 8 144
504 171 111
504 226 12
504 465 5
505 110 72
505 196 259
505 260 53
505 466 30
505 496 56
506 100 687
506 221 91
506 399 21
506 468 130
507 179 172
507 188 232
507 350 14
507 433 48
508 16 58
508 121 222
508 171 79
508 182 37
508 196 11
508 338 164
508 452 40
508 493 61
508 497 113
509 25 149
509 46 49
509 125 5
509 257 18
509 263 86
509 277 28
509 288 57
509 324 69
509 409 6
509 476 61
510 145 17
510 180 16
510 501 68
511 15 350
511 157 116
511 410 159
511 456 5
511 483 48
512 99 158
512 140 213
512 203 62
512 338 92
512 362 12
512 450 43
513 140 72
513 264 38
513 322 71
513 464 128
514 18 59
514 169 95
514 229 92
514 234 96
514 249 37
514 275 47
514 311 62
514 345 25
514 422 106
515 177 71
516 37 73
516 75 19
516 137 389
516 142 67
516 174 22
516 176 68
516 229 87
516 319 100
516 346 172
517 73 39
517 120 34
517 354 235
517 373 14
517 415 75
518 192 150
518 231 33
518 254 39
518 471 21
518 479 58
518 499 95
519 49 11
519 81 163
519 276 315
520 94 20
520 152 59
520 270 49
520 308 148
520 442 394
520 477 286
521 206 137
521 374 77
521 463 107
521 494 366
522 116 40
522 253 46
522 313 94
522 507 86
523 45 5
523 183 6
523 222 37
523 373 23
524 28 113
524 95 27
524 107 339
524 155 75
524 300 88
525 37 18
525 65 284
525 259 56
526 19 159
526 221 45
526 291 510
526 368 137
526 430 17
526 461 146
527 22 74
527 279 105
527 311 182
527 320 25
528 14 52
528 144 126
528 155 5
528 180 177
528 230 15
528 373 5
528 377 50
528 504 59
529 32 80
529 115 32
529 292 27
529 306 5
529 352 24
529 409 5
529 416 148
530 58 23
530 116 79
530 270 32
530 326 16
530 376 116
530 518 25
531 58 155
531 82 89
531 181 58
531 241 44
531 301 191
532 8 88
532 85 137
532 192 16
532 233 5
532 475 208
533 277 11
533 416 210
533 447 25
534 128 71
534 219 141
534 250 14
534 254 22
535 11 113
535 177 19
535 273 148
536 34 5
536 311 128
536 513 386
536 521 19
537 56 13
537 196 11
537 355 20
538 69 129
538 450 73
538 514 72
539 263 80
539 441 7
539 500 151
540 19 208
540 132 256
540 141 94
540 151 112
541 103 129
541 139 18
541 169 58
541 229 16
541 297 8
541 445 172
542 28 5
542 62 212
542 102 18
542 377 178
543 119 313
543 185 11
543 327 12
543 414 53
543 417 110
544 40 149
544 71 36
544 357 37
544 524 12
545 4 116
545 34 20
545 212 259
545 356 137
545 460 68
546 53 281
546 170 179
546 179 64
546 301 98
546 430 49
547 66 189
547 216 126
547 289 65
547 489 41
548 5 23
548 183 47
548 236 73
548 367 34
548 460 22
549 367 71
549 540 38
550 1 54
550 79 163
550 90 122
550 124 85
550 217 117
550 285 5
550 305 205
550 341 103
551 72 32
551 99 5
551 128 544
551 131 85
551 463 173
551 540 41
552 347 54
552 446 53
552 462 202
552 471 71
552 484 46
553 13 44
553 111 83
553 170 112
553 178 9
553 197 526
553 397 39
553 522 69
554 37 20
554 50 136
554 108 67
554 142 190
554 257 26
554 338 111
554 402 41
554 442 22
554 455 23
554 480 5
554 506 122
555 76 65
556 19 72
556 135 133
556 211 105
556 280 141
556 302 12
556 340 10
556 513 5
557 224 63
557 334 9
557 473 268
558 96 32
558 162 22
558 234 5
558 345 5
558 413 16
558 525 75
558 553 39
559 134 5
559 136 340
559 187 10
559 450 42
560 173 49
560 207 42
560 253 12
560 283 5
560 294 10
560 330 26
560 353 124
560 366 266
560 378 115
560 465 160
560 509 218
561 162 92
561 165 130
561 173 65
561 203 164
561 227 24
561 229 78
561 231 43
561 440 156
561 484 15
561 498 48
562 104 72
562 123 94
562 355 11
562 433 17
562 496 68
563 238 39
563 335 51
563 354 62
563 360 75
564 67 176
564 76 22
564 306 89
565 80 116
565 122 541
565 195 60
565 217 89
565 290 235
565 301 173
565 321 5
565 409 48
565 562 39
566 160 39
566 182 82
566 301 42
566 356 107
567 2 47
567 39 15
567 103 87
567 157 68
567 158 7
567 162 145
567 446 53
567 549 26
568 12 296
568 157 222
568 435 5
568 450 183
569 29 350
569 101 58
569 240 5
569 251 180
569 284 77
569 330 569
569 471 5
569 522 60
569 552 202
570 47 71
570 57 6
570 191 40
570 415 265
571 9 34
571 312 102
571 314 62
571 365 108
571 438 76
571 495 5
572 72 49
572 178 17
572 218 142
572 223 32
572 288 95
572 339 232
572 389 80
572 425 13
572 534 238
572 564 334
573 189 213
573 213 198
573 424 51
573 469 22
574 123 38
574 270 54
574 289 41
574 301 89
574 314 72
574 407 49
575 27 209
575 122 184
575 169 130
575 194 65
575 246 162
575 279 97
576 24 50
576 186 79
576 277 65
576 338 10
576 349 165
576 378 169
576 399 214
576 518 103
576 559 139
577 7 63
577 136 109
577 330 55
577 558 50
578 168 26
578 395 235
578 513 62
579 137 111
579 184 115
579 230 45
579 294 73
579 372 126
579 551 336
580 116 69
580 234 48
580 441 223
580 450 188
580 504 43
581 0 102
581 4 29
581 6 14
581 97 273
581 98 256
581 109 9
581 426 42
581 546 128
582 145 91
582 158 30
582 186 195
582 214 27
582 332 179
583 7 58
583 101 25
583 130 32
583 163 79
583 185 167
583 451 109
584 261 168
584 293 13
584 365 154
584 431 138
585 6 5
585 19 64
585 306 5
585 315 16
585 320 196
585 343 110
585 374 5
585 386 133
585 405 62
585 411 13
586 254 27
586 260 142
586 297 418
586 300 164
586 372 82
586 391 191
586 404 154
586 427 54
586 497 172
586 501 42
587 69 89
587 212 5
587 226 29
587 259 80
587 279 151
587 312 33
587 366 192
588 46 224
588 144 18
588 217 286
588 274 48
588 384 145
588 444 137
588 520 87
588 582 156
589 42 58
589 119 5
589 165 133
589 399 81
590 52 25
590 278 142
590 294 288
590 421 48
590 518 140
591 2 288
591 5 80
591 143 81
591 154 193
591 229 13
591 252 169
592 139 167
592 152 218
592 178 20
592 234 121
592 295 46
592 358 19
593 47 9
593 144 5
593 342 26
593 385 30
593 396 42
593 555 186
593 586 7
594 0 65
594 92 5
594 260 19
594 289 28
594 397 87
594 457 122
594 463 17
594 577 51
594 592 5
595 99 30
595 194 54
595 287 44
596 125 125
596 356 217
596 438 96
596 588 148
597 147 120
597 239 139
597 283 45
598 6 166
598 118 288
598 205 110
598 300 61
598 467 134
599 80 122
599 236 107
599 291 113
599 371 36
599 524 56
600 209 152
600 333 26
600 357 33
600 426 281
601 122 35
601 390 7
601 398 360
601 423 5
601 541 94
601 560 133
602 111 72
602 171 29
602 275 330
602 422 158
602 443 148
603 140 43
603 323 9
603 503 5
603 536 13
604 58 90
604 209 19
604 315 76
604 369 49
604 516 7
605 8 36
605 166 128
605 213 42
605 313 60
605 416 290
605 494 122
606 152 67
606 224 34
606 303 160
606 456 47
606 492 57
606 557 12
606 567 99
607 7 85
607 31 141
607 64 247
607 89 231
607 153 9
607 296 16
607 330 40
607 396 52
608 143 165
608 159 5
608 196 39
608 240 54
608 257 19
608 274 415
608 308 82
608 438 20
608 471 122
608 552 50
608 569 270
608 570 39
608 572 91
609 254 13
609 318 98
609 501 165
609 521 57
609 548 18
609 550 90
609 567 76
610 1 130
610 45 189
610 223 127
610 236 157
610 356 107
610 384 44
610 405 337
610 467 12
610 547 28
610 556 254
610 581 6
611 21 195
611 115 10
611 134 68
611 142 91
611 259 99
611 276 29
611 466 214
611 483 45
612 59 34
612 118 5
612 419 87
612 481 141
612 582 19
613 50 41
613 242 55
613 285 5
613 334 27
613 342 174
613 383 135
613 474 127
613 481 213
613 517 54
613 559 8
614 100 81
614 109 73
614 316 86
614 362 284
614 448 85
615 27 48
615 173 45
615 188 186
615 230 32
615 243 180
615 285 53
615 295 199
615 314 280
616 23 43
616 41 34
616 81 96
616 151 44
616 218 49
616 298 245
616 513 76
616 516 42
616 533 164
617 54 152
617 79 12
617 87 174
617 223 19
617 528 990
617 543 266
617 615 208
618 4 102
618 32 203
618 202 18
618 224 7
618 342 89
618 361 266
619 187 13
619 210 58
619 211 18
619 222 107
619 359 65
619 499 35
620 45 30
620 326 40
620 367 68
620 373 47
620 546 75
620 575 205
620 598 115
621 246 128
621 270 53
621 271 80
622 77 119
622 83 18
622 146 87
622 259 53
622 322 7
622 364 31
622 384 73
622 519 167
623 15 181
623 174 263
623 266 59
623 333 12
623 342 9
623 428 109
623 442 167
623 536 5
624 8 21
624 220 270
624 261 79
624 372 30
624 400 68
624 482 48
625 172 125
625 194 187
625 266 54
625 437 129
625 554 50
625 569 143
626 91 234
626 97 5
626 309 230
626 316 43
626 395 44
626 606 59
627 29 327
627 60 84
627 70 53
627 136 38
627 167 339
627 252 185
627 348 61
627 435 255
627 484 15
627 513 21
628 45 142
628 107 212
628 182 71
628 215 72
628 508 167
628 590 38
629 53 6
629 58 237
629 110 15
629 222 109
629 238 138
629 260 68
629 321 12
629 394 387
629 407 108
629 534 213
629 613 534
630 120 169
630 410 77
630 629 5
631 78 109
631 132 64
631 135 50
631 207 112
631 490 32
631 519 179
631 607 5
632 254 74
632 269 5
632 347 109
632 375 240
632 402 436
632 404 227
632 533 13
633 17 11
633 150 37
633 151 78
633 154 192
633 330 156
633 385 10
633 448 27
633 610 83
634 126 28
634 137 334
634 178 173
634 184 141
634 609 249
634 626 29
635 33 5
635 88 9
635 157 41
635 173 47
635 343 54
635 414 283
635 429 93
635 571 8
636 111 5
636 246 187
636 375 5
637 61 16
637 295 43
637 318 225
637 396 30
637 450 6
637 460 5
637 562 90
638 362 99
638 433 10
638 485 94
638 535 151
639 35 148
639 198 166
639 243 94
639 280 39
639 608 177
639 624 146
640 44 35
640 127 70
640 251 104
640 399 51
640 555 18
640 557 181
640 580 38
640 611 34
641 222 112
641 334 9
641 496 59
641 585 22
641 587 34
642 3 23
642 196 76
642 265 51
642 325 71
642 360 5
642 372 100
642 435 47
642 560 41
643 14 59
643 143 186
643 152 31
643 173 21
643 180 5
643 195 96
643 218 60
643 235 115
643 289 35
643 481 310
643 496 5
643 566 70
644 8 108
644 59 54
644 269 41
644 290 5
644 440 32
644 447 22
645 52 5
645 209 30
645 284 144
645 317 11
645 327 128
645 356 90
645 435 66
645 485 61
645 578 72
646 3 117
646 79 185
646 159 126
646 287 268
647 227 48
647 558 38
648 15 574
648 67 250
648 185 185
648 312 277
648 347 48
648 380 5
648 499 11
648 630 77
649 0 85
649 192 33
649 278 89
649 331 186
649 356 43
649 369 38
649 409 100
649 494 32
649 546 359
649 567 11
650 19 330
650 103 14
650 338 38
650 427 58
650 558 24
651 129 188
651 202 73
651 261 56
651 503 109
651 544 78
651 630 41
652 234 62
652 280 71
652 386 5
652 516 5
653 151 198
653 339 24
653 384 74
653 556 26
653 579 353
653 588 29
653 648 30
654 98 36
654 187 85
654 353 168
654 422 41
654 610 53
654 625 19
654 636 114
654 638 10
654 646 288
655 38 216
655 168 33
655 312 101
655 317 27
655 345 126
655 368 27
655 414 70
655 527 93
655 624 17
656 33 12
656 296 22
656 379 89
656 516 327
656 529 17
656 621 31
657 39 41
657 135 257
657 186 256
657 285 41
657 444 11
657 455 178
657 461 5
657 512 136
658 175 468
658 238 10
658 340 259
658 364 15
659 58 101
659 84 90
659 185 38
659 206 196
659 293 217
659 311 203
659 395 129
659 401 5
659 462 29
659 496 152
659 516 5
659 545 118
659 583 143
659 638 5
660 4 199
660 191 68
660 210 85
660 269 220
660 497 346
660 578 132
660 613 69
660 658 243
661 1 87
661 54 372
661 243 215
661 287 56
661 476 42
662 58 164
662 119 14
662 219 51
662 230 258
662 311 100
662 471 43
662 517 122
663 310 67
663 316 15
663 387 152
663 394 131
663 541 31
663 607 10
663 621 10
664 53 188
664 319 72
664 335 82
664 378 139
664 478 105
664 519 14
664 554 167
664 574 33
664 597 28
665 16 7
665 17 7
665 36 307
665 52 5
665 57 149
665 313 113
665 325 16
665 373 155
665 443 194
665 575 305
666 246 14
666 276 125
666 349 18
666 644 87
667 51 8
667 120 358
667 201 130
667 270 189
667 282 5
667 332 86
667 357 141
667 620 46
668 4 9
668 141 27
668 368 57
668 382 13
668 480 60
668 532 81
668 654 5
669 8 19
669 59 170
669 196 31
669 215 5
669 240 347
669 277 160
