100 47
62 30 ?
11 84 ?
29 45 117
30 47 91
13 61 17
60 41 183
33 8 132
74 12 ?
63 13 92
78 91 ?
24 31 235
86 4 ?
85 3 35
80 54 8
46 1 104
33 91 ?
32 38 27
49 46 104
22 41 ?
71 31 -1
50 61 ?
83 92 28
7 84 121
70 52 157
12 25 5
25 28 5
71 54 ?
26 73 ?
31 0 43
36 44 ?
4 52 -1
28 75 32
62 81 14
55 51 336
42 67 137
42 64 -1
94 11 ?
58 41 ?
5 78 ?
98 38 ?
70 73 111
71 98 76
11 85 66
26 32 ?
31 18 86
27 31 ?
62 17 ?
47 10 167
46 95 89
80 42 27
14 70 175
52 74 57
7 84 ?
7 38 20
12 10 247
76 7 6
98 99 387
32 51 5
58 6 ?
37 73 -1
93 62 ?
8 22 33
38 96 ?
16 82 206
64 30 162
98 90 32
80 60 221
45 12 -1
18 59 ?
75 17 108
17 16 9
45 33 5
95 22 ?
64 3 88
71 19 21
8 11 ?
7 60 ?
68 76 64
59 31 243
53 2 ?
56 58 42
11 61 ?
73 27 5
96 63 130
95 49 ?
52 37 141
15 86 58
53 81 ?
6 55 13
18 20 116
49 1 40
73 45 226
62 0 233
48 96 ?
60 88 12
10 11 33
55 10 24
16 70 ?
45 60 85
10 9 30
67 69 137
47 60 12
88 90 ?
50 14 82
1 65 -1
61 19 23
94 45 ?
77 81 165
24 28 46
35 40 ?
94 9 ?
25 14 105
24 50 190
81 4 ?
55 49 ?
60 44 51
47 63 47
69 38 ?
91 51 ?
47 73 34
44 46 55
40 80 ?
1 3 63
46 41 136
95 55 ?
22 72 199
10 59 109
11 83 ?
1 63 19
30 81 11
40 32 ?
12 49 ?
20 24 238
22 31 102
54 23 ?
83 29 104
46 92 30
93 46 128
49 60 143
53 64 228
53 92 ?
40 39 ?
56 8 41
38 7 184
71 18 164
38 85 ?
98 76 805
78 8 46
56 63 36
45 11 34
82 54 336
83 16 593
60 12 93
69 91 ?
43 93 196
44 97 102
11 6 ?
42 46 258
25 55 240
10 42 5
4 27 ?
23 40 358
4 14 145
13 20 49
85 32 ?
74 88 ?
29 86 169
22 14 ?
53 91 ?
29 21 112
67 28 15
16 50 57
54 76 ?
83 84 187
53 57 88
20 43 11
21 90 36
4 58 171
0 66 ?
2 41 ?
74 91 38
86 17 72
90 45 ?
60 43 48
85 73 -1
86 69 29
65 42 ?
2 83 66
27 78 76
81 18 ?
18 50 12
85 38 127
77 47 ?
0 35 ?
61 40 42
19 55 ?
82 56 20
20 8 ?
28 63 214
97 46 5
31 58 93
59 44 178
9 89 17
65 68 92
65 28 26
16 46 91
14 52 12
94 18 ?
0 74 ?
70 42 168
46 41 5
8 67 ?
51 91 270
58 20 ?
41 52 ?
34 8 ?
17 49 82
39 1 17
57 41 220
27 25 ?
51 21 ?
59 11 214
61 86 173
10 25 116
56 24 ?
99 61 ?
26 8 93
4 55 -1
51 34 19
79 91 ?
68 72 -1
4 94 ?
97 85 9
89 51 51
9 57 80
60 37 ?
14 61 24
82 75 ?
4 41 17
60 90 ?
40 62 ?
34 42 ?
75 83 ?
59 48 ?
81 68 249
10 92 ?
71 97 ?
58 0 639
63 8 ?
84 35 23
85 87 83
11 87 ?
76 20 136
93 1 160
65 43 210
23 75 152
62 34 ?
6 3 230
37 85 95
82 34 ?
72 73 96
86 26 5
37 70 64
99 27 8
91 75 49
82 25 ?
73 6 82
63 50 21
15 26 150
11 45 -1
10 82 -1
0 8 ?
30 73 35
76 50 ?
79 13 5
24 39 216
25 76 ?
53 48 110
87 23 6
99 53 16
18 58 28
31 33 ?
28 89 ?
67 93 ?
16 74 163
26 94 ?
26 95 138
66 48 -1
55 3 197
66 32 ?
74 86 ?
12 13 26
98 15 192
82 96 ?
70 19 ?
13 55 ?
0 55 ?
8 89 188
94 85 ?
14 35 169
30 81 225
58 7 ?
95 71 ?
57 23 7
87 58 113
83 17 ?
3 63 5
83 23 ?
0 47 199
88 39 44
70 3 72
99 57 63
13 86 57
93 66 24
31 26 ?
42 54 ?
65 55 ?
66 47 107
57 71 30
12 93 196
44 7 248
1 2 342
50 33 ?
67 84 ?
40 19 104
27 93 20
50 24 16
35 61 241
29 82 ?
59 41 30
58 56 78
75 14 134
48 90 46
23 83 ?
85 41 184
34 98 10
89 49 148
1 81 96
90 1 107
50 11 ?
52 94 254
45 52 ?
56 73 113
64 49 33
69 10 ?
99 38 91
5 56 309
69 0 8
94 31 179
5 17 ?
14 50 ?
83 28 51
58 66 12
60 74 103
80 70 ?
5 95 55
22 77 138
31 81 126
24 86 88
83 23 105
27 54 46
24 13 ?
77 73 116
14 20 235
26 54 41
44 52 ?
33 68 5
75 12 7
88 30 ?
79 95 ?
94 53 127
92 22 ?
85 55 47
33 84 103
64 32 ?
52 11 220
24 83 23
64 59 121
36 37 41
18 47 21
30 65 15
64 9 ?
59 90 52
16 17 ?
61 32 154
76 22 ?
6 19 72
79 33 24
58 26 5
16 47 179
43 57 52
62 70 214
26 23 41
30 23 ?
99 12 100
91 21 108
77 63 35
83 24 71
17 84 ?
5 73 13
45 36 -1
49 28 290
6 43 ?
74 7 27
6 50 ?
21 29 256
1 68 118
40 74 23
12 53 ?
40 51 111
68 40 217
94 12 ?
41 81 5
65 72 61
14 81 -1
72 67 ?
32 22 45
4 84 ?
60 68 203
52 36 275
99 72 5
27 21 231
20 81 ?
33 81 19
72 19 105
85 42 113
26 6 ?
59 31 32
69 79 50
90 7 82
85 31 ?
2 29 ?
23 13 ?
62 56 ?
38 40 ?
31 99 86
77 73 166
6 38 48
24 30 36
26 80 5
74 26 ?
55 53 48
11 73 185
95 59 23
15 76 ?
70 90 17
70 54 ?
64 15 13
73 99 103
15 35 82
65 3 109
48 31 32
73 78 47
89 15 ?
31 71 31
55 68 78
23 50 ?
41 36 133
92 35 ?
74 72 ?
82 37 35
91 40 382
25 66 5
5 76 106
15 23 97
13 53 ?
0 4 210
29 22 75
1 24 32
69 16 67
68 23 ?
61 59 11
33 23 -1
66 97 70
42 58 115
9 22 38
59 19 310
80 8 149
57 21 35
12 6 67
53 62 58
52 78 153
83 29 ?
1 79 25
67 27 12
53 52 140
41 12 ?
36 65 ?
36 39 13
58 31 26
23 85 35
58 90 ?
39 35 60
69 74 32
51 15 5
62 0 8
29 17 24
70 65 285
79 53 ?
2 36 19
52 79 77
60 72 5
65 15 ?
7 1 536
75 53 20
65 40 ?
15 77 43
7 76 ?
16 99 87
13 90 40
43 20 16
83 89 57
62 29 ?
57 30 98
37 90 ?
45 93 418
74 63 ?
75 78 ?
13 98 18
50 39 5
69 21 399
15 13 157
44 87 ?
83 59 ?
80 96 422
58 77 77
7 12 42
72 1 45
9 87 ?
31 51 13
30 63 174
4 15 ?
95 18 223
53 0 52
84 45 ?
31 6 121
50 1 ?
79 51 59
34 17 120
76 28 17
20 62 5
62 83 52
62 46 68
63 90 148
41 81 198
88 3 ?
99 70 5
88 74 ?
32 78 67
76 59 28
47 83 217
63 18 ?
89 21 29
97 88 40
77 18 5
98 9 -1
64 6 ?
55 24 101
26 80 ?
84 40 ?
85 31 133
48 79 462
57 17 27
19 17 20
1 64 5
37 6 115
62 64 105
52 24 167
55 40 ?
10 2 204
74 36 82
80 63 85
44 30 ?
13 75 ?
96 44 ?
83 73 ?
85 97 ?
83 70 29
54 36 ?
30 74 5
43 75 59
99 65 105
81 46 128
2 89 -1
15 11 24
3 60 13
99 85 167
98 15 101
77 27 53
10 9 100
96 22 86
1 58 367
99 61 ?
92 31 25
18 94 106
16 2 16
41 68 35
91 92 ?
39 22 14
45 59 ?
56 29 59
60 94 66
13 5 12
6 97 27
33 48 ?
72 29 219
77 19 131
59 27 ?
25 71 429
19 61 410
23 63 190
74 64 10
70 5 47
74 29 54
58 6 6
6 67 ?
11 0 ?
26 0 116
27 40 129
73 72 71
95 21 92
3 24 80
40 56 46
41 85 112
12 68 211
96 82 197
18 79 5
26 38 176
94 28 71
66 61 ?
76 73 29
69 41 184
87 0 ?
62 5 ?
87 33 192
75 97 79
10 17 -1
76 22 85
70 27 22
68 37 ?
48 28 22
21 25 61
1 50 ?
48 15 7
60 65 19
46 29 279
4 80 5
80 32 149
71 31 ?
1 5 63
99 60 439
28 71 226
4 73 78
7 52 29
82 46 64
84 51 5
84 12 218
55 1 ?
12 62 52
62 18 223
79 41 ?
15 92 45
6 88 290
64 48 ?
46 60 ?
56 77 254
68 58 71
70 47 36
18 84 49
39 61 ?
12 66 9
99 92 ?
23 92 147
74 57 65
97 70 ?
16 46 ?
68 73 ?
58 89 ?
60 70 ?
67 51 12
56 22 212
84 79 157
72 0 9
57 6 23
25 47 20
32 29 95
54 60 250
16 70 273
87 3 ?
85 8 ?
19 5 21
11 77 34
13 57 179
47 0 295
33 20 269
39 74 30
10 38 ?
90 13 ?
46 99 ?
34 93 119
55 19 ?
87 82 6
10 29 5
76 90 ?
96 37 ?
58 68 111
34 65 ?
67 41 34
24 41 ?
42 7 152
38 30 26
5 17 192
77 1 7
54 11 ?
29 67 213
12 97 460
31 36 34
7 10 ?
81 50 46
90 40 337
41 45 54
77 37 34
42 20 41
28 60 ?
63 21 183
78 25 193
6 55 ?
37 36 156
58 40 60
2 38 192
66 61 ?
82 30 117
29 64 79
58 74 12
33 60 25
91 90 ?
61 62 ?
